Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC (USD),URL,Traffic Volume,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
conduit light fittings,1,1,90,3,0.41,https://ledsone.co.uk/collections/conduit-lighting,22,0.18,9,1,10800000,"33,33,42,42,42,42,33,52,52,52,66,66",02/02/2026 21:56:53,"Image pack, Video, Popular products, Related searches",informational,Organic
spider chandelier,1,1,90,4,0.62,https://ledsone.co.uk/collections/spider-light,7,0.05,4,1,6800000,"21,34,28,21,21,21,6,21,34,28,34,34",01/19/2026 07:11:15,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
antique bulbs e27,1,1,260,9,0.43,https://ledsone.co.uk/collections/vintage-bulbs,34,0.27,14,1,3010000,"54,81,22,18,54,54,43,18,29,66,66,66",03/04/2026 15:06:08,"Video, People also ask, Popular products, Related searches","informational, transactional",Organic
spider pendant light,1,1,320,8,0.44,https://ledsone.co.uk/collections/spider-light,42,0.34,18,1,15500000,"29,36,29,36,29,44,29,36,29,44,36,54",02/23/2026 03:27:33,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
24v transformer,1,1,480,8,0.56,https://ledsone.co.uk/collections/dc-24v-transformer,63,0.51,35,1,8070000,"45,36,30,36,30,30,24,36,30,30,36,36",02/21/2026 03:23:56,"Image pack, Video, People also ask, Popular products, Related searches, AI overview","informational, transactional",Organic
vintage e27 light bulbs,1,1,140,,0.42,https://ledsone.co.uk/collections/vintage-bulbs,34,0.27,14,1,5120000,"65,53,53,42,34,34,53,42,53,65,65,100",02/02/2026 23:19:04,"Video, People also ask, Popular products, Related searches",commercial,Organic
pipework lighting,1,1,170,11,0.2,https://ledsone.co.uk/collections/pipe-lighting,42,0.34,8,1,2010000,"0,0,3,2,0,0,0,0,10,54,67,100",02/05/2026 02:49:32,"Local pack, Video, Video Carousel, Popular products, Related searches",informational,Organic
12 volt led transformer,1,1,210,7,0.43,https://ledsone.co.uk/collections/dc-12v-transformer,27,0.22,11,1,28300000,"100,82,66,66,43,66,28,35,35,35,35,43",01/17/2026 03:34:05,"Video, People also ask, Popular products, Related searches","informational, transactional",Organic
retro ceiling light shades,1,1,110,12,0.3,https://ledsone.co.uk/collections/lampshades,14,0.11,4,1,12000000,"5,10,6,6,6,8,8,1,6,6,16,10",03/02/2026 14:59:07,"Image pack, Image, Popular products, Related searches",commercial,Organic
pendant light spider,1,1,170,5,0.44,https://ledsone.co.uk/collections/spider-light,22,0.18,9,1,11100000,"36,29,23,6,15,36,19,9,19,36,29,36",02/17/2026 17:38:53,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
intitle:ledsone,1,1,320,42,1.99,https://ledsone.co.uk/,256,2.1,509,1,36600,"66,66,82,82,82,66,66,53,66,82,82,100",01/06/2026 17:44:37,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
spider light,1,1,1000,9,0.44,https://ledsone.co.uk/collections/spider-light,132,1.08,58,1,690000000,"34,34,65,30,30,30,20,34,24,44,44,30",01/07/2026 18:19:34,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
rose gold ceiling light,1,1,260,8,0.39,https://ledsone.co.uk/collections/rose-gold-lighting,34,0.27,13,1,56500000,"5,10,8,7,5,5,7,7,7,7,8,10",01/24/2026 17:32:24,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
spider light pendant,1,1,140,5,0.44,https://ledsone.co.uk/collections/spider-light,11,0.09,4,1,8890000,"33,42,33,66,52,80,52,66,80,80,80,80",02/23/2026 19:50:08,"Image pack, Video, Image, Popular products, Related searches",informational,Organic
spider ceiling light,1,1,320,8,0.41,https://ledsone.co.uk/collections/spider-light,42,0.34,17,1,36800000,"44,66,54,54,66,44,44,54,54,66,66,81",02/01/2026 17:45:39,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
lighting pipe,1,1,110,14,1.25,https://ledsone.co.uk/collections/pipe-lighting,27,0.22,33,1,538000000,"18,14,6,8,8,66,43,6,6,35,35,22",02/03/2026 04:06:50,"Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches",informational,Organic
retro lamp shades,1,1,720,8,0.25,https://ledsone.co.uk/collections/lampshades,95,0.78,23,1,9390000,"30,30,81,62,55,30,30,30,55,36,45,100",02/01/2026 14:15:54,"Image pack, Image, Popular products, Related searches","informational, transactional",Organic
plug in lighting fixtures,1,1,110,9,0.35,https://ledsone.co.uk/collections/plugin-lighting,27,0.22,9,1,19100000,"100,100,100,100,78,78,78,50,0,50,78,78",03/03/2026 04:08:42,"Video, Popular products, Related searches, AI overview","informational, transactional",Organic
240v to 12v transformer,1,1,1000,10,0.3,https://ledsone.co.uk/products/dc-12v-ip20-power-supply,132,1.08,39,1,2910000,"54,54,41,30,30,30,30,36,36,36,36,54",02/12/2026 02:38:24,"Video, People also ask, Popular products, Related searches","informational, transactional",Organic
brackets for ceiling lights,1,1,260,14,0.32,https://ledsone.co.uk/collections/ceiling-rose-brackets,64,0.52,20,1,25800000,"54,43,43,29,81,66,54,14,35,81,100,0",01/25/2026 14:18:25,"Video, People also ask, Popular products, Related searches, AI overview",commercial,Organic
wire shade lamp,1,1,140,9,0.25,https://ledsone.co.uk/collections/wire-cage,18,0.14,4,1,17200000,"35,22,43,35,22,29,35,29,14,22,35,35",01/03/2026 11:46:17,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
spider lights,1,1,720,9,0.54,https://ledsone.co.uk/collections/spider-light,95,0.78,51,1,125000000,"41,24,36,20,30,36,20,16,24,30,41,30",01/29/2026 03:15:18,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
dc transformer,2,2,140,25,0.84,https://ledsone.co.uk/collections/dc-12v-transformer,11,0.09,9,1,84300000,"65,80,53,53,53,42,34,53,53,53,65,65",01/23/2026 02:08:25,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, AI overview",informational,Organic
rose gold hanging lights,2,2,110,4,0.45,https://ledsone.co.uk/collections/rose-gold-lighting,7,0.05,3,1,18200000,"17,28,35,23,28,35,28,12,28,28,35,35",02/18/2026 20:56:03,"Image pack, Video, Image, Popular products, Related searches",informational,Organic
black metal lamp shades,2,2,110,16,0.31,https://ledsone.co.uk/pl/products/modern-drum-lampshade-black-colour-retro-style,14,0.11,4,1,21300000,"42,42,11,26,11,11,26,53,80,65,80,80",02/13/2026 09:46:31,"Image pack, Image, Popular products, Related searches",informational,Organic
12v ac adapter dc,2,2,140,17,0.35,https://ledsone.co.uk/products/12v-10a-power-supply-adapter-transformer,4,0.03,1,1,21700000,"100,64,82,64,82,100,82,41,64,100,100,82",03/01/2026 10:37:24,"Video, Video Carousel, People also ask, Popular products, Related searches","commercial, informational",Organic
lamp shades rose gold,2,2,170,15,0.28,https://ledsone.co.uk/products/rose-gold-easy-fit-metal-light-shade-metal-cage,13,0.1,3,1,8030000,"44,28,35,23,15,28,35,23,11,18,28,28",01/03/2026 10:01:32,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
retro ceiling lamp shades,2,2,90,6,0.3,https://ledsone.co.uk/collections/lampshades/metal-pendant-light,7,0.05,2,1,7780000,"26,42,26,26,34,42,42,7,34,65,53,53",02/27/2026 09:54:05,"Video, Image, Popular products, Related searches","informational, transactional",Organic
bracket for hanging lamp,2,2,170,5,0.47,https://ledsone.co.uk/collections/ceiling-rose-brackets,22,0.18,10,1,5420000,"1,6,100,3,1,1,5,1,1,8,1,1",02/25/2026 18:14:24,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
ceiling lights rose gold,2,2,140,,0.39,https://ledsone.co.uk/collections/rose-gold-lighting,11,0.09,4,1,25400000,"53,65,65,43,43,28,43,21,34,28,21,65",02/05/2026 08:02:19,"Image pack, Image, Popular products, Related searches","informational, transactional",Organic
plug in light fixture for wall,2,2,1300,,0.41,https://ledsone.co.uk/collections/plugin-lighting,106,0.87,43,1,20300000,"36,3,5,0,15,10,13,13,4,10,2,0",02/02/2026 15:49:23,"Video, Image, Popular products, Related searches, Discussions and forums",informational,Organic
240v to12v converter,2,2,210,16,0.31,https://ledsone.co.uk/products/dc12v-80w-ip20-universal-regulated-switching-power-supply,6,0.04,1,1,793000,"28,53,53,53,28,23,28,17,43,100,82,82",01/28/2026 05:28:43,"Video, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",Organic
vintage light bulbs e27,2,2,140,,0.42,https://ledsone.co.uk/collections/vintage-bulbs,18,0.14,7,1,5120000,"53,42,34,42,26,53,42,34,53,53,53,100",02/06/2026 03:11:59,"Video, Popular products, Related searches","informational, transactional",Organic
led e27 vintage bulb,2,2,90,3,0.36,https://ledsone.co.uk/collections/vintage-bulbs,7,0.05,2,1,6660000,"53,34,28,28,9,28,28,6,21,34,28,43",01/31/2026 23:49:05,"Video, Popular products, Related searches","informational, transactional",Organic
hanging rope lights,2,2,110,9,0.49,https://ledsone.co.uk/collections/hemp-rope-lighting,7,0.05,3,1,25300000,"64,52,52,52,41,52,52,64,64,64,64,82",01/17/2026 10:13:24,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
12 voltage transformer,2,2,170,5,0.3,https://ledsone.co.uk/collections/dc-12v-transformer,5,0.04,1,1,39100000,"80,80,65,34,53,80,53,26,42,65,80,80",01/27/2026 12:14:57,"Image pack, Video, Video Carousel, Popular products, Related searches","informational, transactional",Organic
hanging light cage,2,2,110,4,0.59,https://ledsone.co.uk/collections/wire-cage-pendant-light,9,0.07,5,1,18600000,"42,52,52,52,66,66,52,23,52,52,66,66",01/22/2026 21:44:22,"Video, Image, Popular products, Related searches",informational,Organic
plug in light bulb fixture,2,0,390,8,0.35,https://ledsone.co.uk/collections/plugin-lighting,17,0.13,5,1,10500000,"44,100,29,15,44,36,29,7,29,54,67,100",03/05/2026 04:33:42,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
edison bulbs vintage,2,2,110,7,0.5,https://ledsone.co.uk/collections/vintage-bulbs,9,0.07,4,1,4080000,"82,64,100,82,82,41,64,41,41,52,64,82",01/03/2026 03:50:14,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
rose gold lampshades,2,2,90,15,0.28,https://ledsone.co.uk/products/rose-gold-easy-fit-metal-light-shade-metal-cage,11,0.09,3,1,949000,"81,28,65,12,6,0,12,0,34,34,28,15",01/07/2026 18:51:44,"Image pack, Video, Image, Ads bottom, People also ask, Popular products, Related searches","informational, transactional",Organic
wire connection terminals,2,2,170,,0.39,https://ledsone.co.uk/collections/wire-connectors-junction-box,5,0.04,1,1,31800000,"82,100,100,100,100,100,100,100,100,82,100,82",01/27/2026 06:51:54,"Image pack, Video, Video Carousel, People also ask, Popular products, Related searches",informational,Organic
plug in light cord,2,2,90,10,0.34,https://ledsone.co.uk/products/e27-plug-in-hanging-pendant-light-fixture-black-lamp-bulb-socket-cord-4548,5,0.04,1,1,91000000,"64,52,82,52,23,29,41,41,64,64,64,52",02/27/2026 18:48:19,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
rose gold ceiling,2,2,110,8,0.44,https://ledsone.co.uk/collections/rose-gold-lighting,9,0.07,3,1,93100000,"42,52,80,19,66,80,66,19,14,52,42,42",01/31/2026 18:48:13,"Image pack, Video, Image, People also ask, Popular products, Related searches",informational,Organic
spider lighting,2,2,170,8,0.54,https://ledsone.co.uk/collections/spider-light,13,0.1,7,1,287000000,"6,8,16,10,0,2,2,13,20,10,13,20",02/09/2026 15:13:51,"Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches",informational,Organic
240v to 12v adapter,2,2,140,22,0.28,https://ledsone.co.uk/products/240v-to-12v-power-supply-universal-adapter,18,0.14,5,1,7030000,"22,29,18,29,29,29,35,43,35,29,43,35",01/19/2026 12:30:41,"Video, People also ask, Popular products, Related searches","commercial, informational",Organic
12 volt dc transformer,2,2,140,15,0.3,https://ledsone.co.uk/collections/dc-12v-transformer,4,0.03,1,1,8770000,"53,43,53,43,43,43,43,43,34,34,43,65",03/04/2026 14:59:05,"Image pack, Video, People also ask, Popular products, Related searches","informational, transactional",Organic
e27 base,2,2,110,22,0.5,https://ledsone.co.uk/products/screw-e27-light-bulb-lamp-holder-base-pendant-socket,2,0.01,1,1,11600000,"64,64,41,52,52,52,64,82,52,52,82,82",01/23/2026 08:31:52,"Image pack, Video, People also ask, Popular products, Related searches, AI overview",informational,Organic
corded pendant lamp,2,2,170,,0.46,https://ledsone.co.uk/collections/plugin-lighting,7,0.05,3,1,11700000,"80,80,53,34,65,100,80,26,42,100,80,100",01/18/2026 19:12:16,"Video, Popular products, Related searches","informational, transactional",Organic
vintage led bulbs e27,2,2,90,3,0.52,https://ledsone.co.uk/collections/vintage-bulbs,11,0.09,5,1,4240000,"100,42,52,9,23,19,42,42,23,33,52,42",01/04/2026 15:49:56,"Video, Popular products, Related searches","informational, transactional",Organic
pendant light on rope,2,1,140,4,0.63,https://ledsone.co.uk/collections/hemp-rope-lighting,11,0.09,6,0.97,198,"28,34,34,34,34,34,28,28,43,100,100,0",03/05/2026 09:05:23,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
holder led bulb,2,2,110,7,0.33,https://ledsone.co.uk/collections/holder,9,0.07,2,1,22600000,"32,39,2,2,2,0,11,2,0,11,2,14",01/31/2026 23:43:49,"Image pack, Video, People also ask, Popular products, Related searches","informational, transactional",Organic
bird lamp,2,2,880,11,0.34,https://ledsone.co.uk/products/black-raven-shape-rasin-bird-table-lamps-desk-lamp,57,0.46,19,1,212,"41,100,41,36,20,24,16,16,20,30,30,41",03/04/2026 17:21:42,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
retro lamp shade,2,2,210,8,0.25,https://ledsone.co.uk/collections/lampshades,17,0.13,4,1,11800000,"23,11,23,8,23,66,6,81,100,28,35,54",02/03/2026 02:20:01,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
lights with transformers,2,2,320,10,0.32,https://ledsone.co.uk/collections/led-transformers,11,0.09,3,1,28700000,"66,54,54,29,100,66,54,14,54,100,100,81",01/23/2026 23:06:53,"Video, Image, Video Carousel, People also ask, Popular products, Related searches","commercial, informational",Organic
vintage ceiling light shades,2,2,110,8,0.25,https://ledsone.co.uk/collections/lampshades,9,0.07,2,1,18000000,"23,23,18,28,18,28,18,11,18,11,15,18",02/27/2026 19:35:22,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
12v dc transformer,2,2,110,8,0.43,https://ledsone.co.uk/collections/dc-12v-transformer,14,0.11,6,1,10600000,"42,53,42,42,34,53,34,53,42,53,53,53",01/18/2026 14:22:33,"Image pack, Video, Video Carousel, People also ask, Popular products, Related searches","commercial, informational",Organic
mould free shower curtain,2,2,90,17,0.32,https://ledsone.co.uk/products/fabric-solid-color-shower-curtain-for-bathtub-shower-5288,3,0.02,0,1,4730000,"21,21,34,15,21,100,6,21,34,21,21,28",02/01/2026 22:01:58,"Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums",informational,Organic
12v transformers,2,2,90,7,0.49,https://ledsone.co.uk/collections/dc-12v-transformer,11,0.09,5,1,8280000,"14,14,7,9,11,9,11,5,11,14,5,3",01/06/2026 12:01:40,"Image pack, Video, People also ask, Popular products, Related searches","informational, transactional",Organic
rope wall lights,2,2,140,7,0.47,https://ledsone.co.uk/collections/hemp-collection,9,0.07,4,1,32000000,"42,53,42,53,34,34,42,53,53,53,53,65",01/28/2026 18:00:00,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
how to install pendant lamp,2,2,170,13,0.46,https://ledsone.co.uk/pages/pi,0,0,0,0.13,18200000,"53,53,28,12,66,35,28,17,35,82,82,66",01/17/2026 19:58:11,"Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
retro style lamp shades,2,2,210,8,0.26,https://ledsone.co.uk/collections/lampshades/metal-pendant-light,17,0.13,4,1,8960000,"66,28,81,54,35,18,18,15,28,11,23,66",02/19/2026 23:24:04,"Video, Image, Popular products, Related searches, AI overview","informational, transactional",Organic
retro vintage lamp shades,2,2,320,4,0.26,https://ledsone.co.uk/collections/lampshades,26,0.21,6,1,7390000,"54,66,36,19,66,44,36,9,23,54,66,54",01/19/2026 05:51:38,"Image pack, Video, Image, Popular products, Related searches","commercial, informational",Organic
3 bulb light fixture,2,2,90,16,0.31,https://ledsone.co.uk/products/3-way-industrial-style-ceiling-light-fixture,5,0.04,1,1,39600000,"33,33,33,33,33,33,42,33,52,52,52,52",02/21/2026 20:29:49,"Image pack, Video, Popular products, Related searches",transactional,Organic
12v led transformer driver,2,2,390,9,0.52,https://ledsone.co.uk/collections/led-transformers,31,0.25,16,1,3590000,"39,48,17,21,17,48,11,7,26,100,48,48",01/29/2026 16:27:26,"Video, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
plug in ceiling light,2,2,590,,0.36,https://ledsone.co.uk/collections/plugin-lighting,77,0.63,27,1,76700000,"67,67,54,36,44,54,44,67,54,67,81,100",01/18/2026 17:48:24,"Image pack, Video, People also ask, Popular products, Related searches",commercial,Organic
lampshade for hanging lamp,2,2,880,26,0.4,https://ledsone.co.uk/collections/easy-fit-lamp-shades-cages,72,0.59,28,1,12700000,"5,100,84,100,68,68,68,8,46,8,8,7",02/02/2026 11:19:43,"Video, Popular products, Related searches",informational,Organic
led transformers,2,2,170,9,0.47,https://ledsone.co.uk/collections/led-transformers,5,0.04,2,1,55900000,"15,11,100,35,8,44,1,23,28,28,35,6",03/01/2026 16:17:54,"Image pack, Video, Image, People also ask, Popular products, Related searches",transactional,Organic
rose gold light,2,2,140,13,0.42,https://ledsone.co.uk/collections/rose-gold-lighting,9,0.07,3,1,1040000000,"14,11,17,17,9,14,9,9,14,11,14,17",02/04/2026 04:08:33,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
how to install pendant light,2,2,210,14,0.46,https://ledsone.co.uk/pages/pi,5,0.04,2,0.13,28400000,"65,53,100,53,65,65,53,34,34,53,43,81",02/25/2026 05:57:04,"Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums",informational,Organic
steampunk wall lights,2,2,170,7,0.38,https://ledsone.co.uk/products/vintage-industrial-water-pipe-lamp-retro-light-steampunk-wall-sconce-free-bulb,11,0.09,4,1,2420000,"43,53,53,53,53,53,53,53,53,43,43,65",01/13/2026 03:43:50,"Image pack, Video, Image, People also ask, Popular products, Related searches",informational,Organic
switch for wall light,2,2,260,9,0.35,https://ledsone.co.uk/collections/switches,34,0.27,11,1,485000000,"65,5,11,11,1,0,0,0,0,0,0,0",02/04/2026 08:05:44,"Sitelinks, Video, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
lighting cable connectors,2,2,720,9,0.28,https://ledsone.co.uk/collections/wire-connectors,21,0.17,5,0.97,30800000,"100,100,20,36,45,36,16,45,81,30,55,30",02/15/2026 18:07:31,"Image pack, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview","informational, transactional",Organic
hanging lamps with plug,2,2,140,7,0.39,https://ledsone.co.uk/collections/plugin-lighting,9,0.07,3,1,11200000,"26,14,0,1,3,5,3,3,7,9,32,88",01/24/2026 02:02:32,"Image pack, Video, Image, People also ask, Popular products, Related searches",informational,Organic
switch on wall,2,2,90,9,0.37,https://ledsone.co.uk/collections/switches,2,0.01,0,1,700000000,"34,43,9,12,12,6,6,43,43,53,28,53",02/18/2026 06:31:14,"Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums",informational,Organic
ceiling rope light,2,2,90,10,0.43,https://ledsone.co.uk/collections/hemp-rope-lighting,5,0.04,2,1,34300000,"5,7,7,7,7,7,10,12,12,10,15,10",02/21/2026 09:24:26,"Image pack, Video, Video Carousel, People also ask, Popular products, Related searches",informational,Organic
quick connect wire connectors,2,2,140,9,0.36,https://ledsone.co.uk/products/electrical-cable-connectors-quick-splice-lock-wire-terminals-self-locking,11,0.09,3,1,35900000,"28,43,66,43,100,23,28,43,66,5,5,5",01/30/2026 19:21:14,"Image pack, Video, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",Organic
switch in wall,2,2,170,8,0.37,https://ledsone.co.uk/collections/switches,5,0.04,1,1,710000000,"53,65,34,15,81,0,0,21,53,100,100,81",02/20/2026 15:40:35,"Image pack, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
light switch in wall,2,2,210,12,0.34,https://ledsone.co.uk/collections/switches,5,0.04,1,1,433000000,"81,100,81,81,65,65,53,65,53,81,65,81",01/31/2026 15:38:56,"Video, Image, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",Organic
light bulb holder for ceiling,2,2,140,7,0.25,https://ledsone.co.uk/collections/holder,18,0.14,4,1,9270000,"64,100,82,64,52,64,64,64,82,100,100,82",02/15/2026 23:47:50,"Video, People also ask, Popular products, Related searches","informational, transactional",Organic
bird lamp table,2,2,140,12,0.34,https://ledsone.co.uk/products/black-raven-shape-rasin-bird-table-lamps-desk-lamp,6,0.04,2,1,30200000,"53,100,80,53,34,42,42,34,53,53,53,53",02/13/2026 09:45:58,"Image pack, Image, Popular products, Related searches","informational, transactional",Organic
dc power transformer,2,2,90,10,0.84,https://ledsone.co.uk/collections/dc-12v-transformer,1,0,0,1,50600000,"52,52,100,52,4,14,0,42,52,52,66,66",01/18/2026 16:43:14,"Image pack, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview",informational,Organic
cage pendant light,2,2,170,5,0.59,https://ledsone.co.uk/collections/wire-cage-pendant-light,13,0.1,7,1,209,"15,23,23,23,23,19,19,15,23,19,23,23",03/04/2026 05:04:05,"Image pack, Video, Image, Popular products, Related searches",informational,Organic
rope ceiling lights,2,2,110,8,0.43,https://ledsone.co.uk/collections/hemp-rope-lighting,7,0.05,3,1,21700000,"52,66,33,42,19,0,19,66,100,66,66,80",01/09/2026 23:58:24,"Image pack, Video, Image, People also ask, Popular products, Related searches",informational,Organic
pendant lamp rope,2,2,170,2,0.63,https://ledsone.co.uk/collections/hemp-rope-lighting,13,0.1,8,0.97,7000000,"43,53,53,53,53,53,43,43,43,100,100,0",01/21/2026 11:58:31,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
plug in light fixture,2,2,140,14,0.35,https://ledsone.co.uk/collections/plugin-lighting,9,0.07,3,1,37900000,"82,100,82,82,64,64,64,41,64,52,100,100",02/04/2026 00:37:23,"Image pack, Video, People also ask, Popular products, Related searches","informational, transactional",Organic
pendant light with cage,2,2,90,4,0.59,https://ledsone.co.uk/collections/wire-cage-pendant-light,7,0.05,4,1,9350000,"10,12,0,0,12,15,12,7,12,7,7,15",02/01/2026 00:18:38,"Image pack, Video, Popular products, Related searches","informational, transactional",Organic
plug in hanging light,2,2,880,13,0.39,https://ledsone.co.uk/collections/plugin-lighting,116,0.95,45,1,101000000,"100,100,55,67,36,24,55,45,36,76,55,100",02/05/2026 21:55:37,"Image pack, Video, Related searches, Discussions and forums",informational,Organic
240 to 12 volt power supply,2,2,90,19,0,https://ledsone.co.uk/products/dc-12v-ip20-power-supply,7,0.05,0,1,123000000,"9,9,66,66,52,52,42,52,42,42,52,9",02/17/2026 11:52:50,"Video, People also ask, Popular products, Related searches","informational, transactional",Organic
